232,312
378,457
496,574
979,1720
2855,2931
5018,5144
5981,6013
6066,6069
6200,6353
7440,7637
7715,7959
7978,8124
8143,8203
9151,9486
9536,9625
9965,10003
10595,10612
12551,12570
13288,13339
13440,13479
13499,13584
15601,15712
16620,16707
16716,16844
17230,17298
18226,18912
20494,20508
21602,22072
23859,24192
27913,28031
28850,28885
28946,28974
29005,29125
29459,29956
31315,31506
31928,31971
32224,32257
33146,33171
33189,33412
33749,33788
34588,34890
34901,35113
35919,35998
36980,36999
37607,37709
