1707.1,0.15559,1707.1,0.13645
1718.4,0.1563,1718.4,0.13702
1729.8,0.15702,1729.8,0.13759
1741.2,0.15774,1741.2,0.13816
1752.6,0.15846,1752.6,0.13873
1764,0.15918,1764,0.1393
1775.3,0.1599,1775.3,0.13988
1786.7,0.16062,1786.7,0.14045
1798.1,0.16134,1798.1,0.14103
1809.5,0.16207,1809.5,0.1416
1820.9,0.16279,1820.9,0.14218
1832.2,0.16352,1832.2,0.14276
1843.6,0.16424,1843.6,0.14334
1855,0.16497,1855,0.14392
1866.4,0.1657,1866.4,0.1445
1877.8,0.16642,1877.8,0.14508
1889.1,0.16715,1889.1,0.14566
1900.5,0.16788,1900.5,0.14625
1911.9,0.16861,1911.9,0.14683
1923.3,0.16934,1923.3,0.14742
1934.7,0.17007,1934.7,0.14801
1946,0.17081,1946,0.14859
1957.4,0.17154,1957.4,0.14917
1968.8,0.17227,1968.8,0.14975
1980.2,0.17301,1980.2,0.15033
1991.6,0.17375,1991.6,0.15092
2002.9,0.17448,2002.9,0.1515
2014.3,0.17522,2014.3,0.15208
2025.7,0.17596,2025.7,0.15267
2037.1,0.1767,2037.1,0.15325
2048.5,0.17744,2048.5,0.15384
2059.8,0.17818,2059.8,0.15442
2071.2,0.17892,2071.2,0.15501
2082.6,0.17966,2082.6,0.1556
2094,0.18039,2094,0.15619
2105.4,0.18113,2105.4,0.15677
2116.8,0.18187,2116.8,0.15736
2128.1,0.18261,2128.1,0.15795
2139.5,0.18334,2139.5,0.15854
2150.9,0.18408,2150.9,0.15914
2162.3,0.18482,2162.3,0.15973
2173.7,0.18556,2173.7,0.16032
2185,0.1863,2185,0.16091
2196.4,0.18704,2196.4,0.16151
2207.8,0.18778,2207.8,0.1621
2219.2,0.18852,2219.2,0.1627
2230.6,0.18926,2230.6,0.16329
2241.9,0.19,2241.9,0.16389
2253.3,0.19074,2253.3,0.16448
2264.7,0.19149,2264.7,0.16508
2276.1,0.19223,2276.1,0.16568
2287.5,0.19297,2287.5,0.16628
2298.8,0.19372,2298.8,0.16688
2310.2,0.19446,2310.2,0.16748
2321.6,0.1952,2321.6,0.16808
2333,0.19595,2333,0.16868
2344.4,0.19669,2344.4,0.16928
2355.7,0.19744,2355.7,0.16988
2367.1,0.19819,2367.1,0.17049
2378.5,0.19893,2378.5,0.17109
2389.9,0.19968,2389.9,0.1717
2401.3,0.20043,2401.3,0.1723
2412.6,0.20117,2412.6,0.17291
2424,0.20192,2424,0.17351
2435.4,0.20267,2435.4,0.17412
2446.8,0.20342,2446.8,0.17473
2458.2,0.20417,2458.2,0.17533
2469.5,0.20491,2469.5,0.17594
2480.9,0.20566,2480.9,0.17655
2492.3,0.2064,2492.3,0.17715
2503.7,0.20714,2503.7,0.17776
2515.1,0.20789,2515.1,0.17837
2526.4,0.20863,2526.4,0.17898
2537.8,0.20938,2537.8,0.17958
2549.2,0.21012,2549.2,0.18019
2560.6,0.21086,2560.6,0.1808
2572,0.21161,2572,0.18141
2583.3,0.21235,2583.3,0.18202
2594.7,0.2131,2594.7,0.18263
2606.1,0.21384,2606.1,0.18324
2617.5,0.21458,2617.5,0.18385
2628.9,0.21532,2628.9,0.18446
2640.2,0.21607,2640.2,0.18507
2651.6,0.21681,2651.6,0.18568
2663,0.21755,2663,0.18629
2674.4,0.21829,2674.4,0.1869
2685.8,0.21904,2685.8,0.18752
2697.2,0.21978,2697.2,0.18813
2708.5,0.22052,2708.5,0.18874
2719.9,0.22126,2719.9,0.18935
2731.3,0.222,2731.3,0.18996
2742.7,0.22274,2742.7,0.19057
2754.1,0.22348,2754.1,0.19119
2765.4,0.22422,2765.4,0.1918
2776.8,0.22496,2776.8,0.19241
2788.2,0.2257,2788.2,0.19302
